year,yw_within_abs,yw_reallocation_abs,yw_selection_abs,yw_gross_total,within_share_t,reallocation_share_t,selection_share_t,share_total_t
2010,946700125.6020811,5929111838.775894,12516569644.49776,19392381608.87573,4.881814646060721,30.57443875827087,64.54374659566845,100
2011,1856579692098.844,1860513751622.18,11564029735.86178,3728657473456.887,49.79217601282065,49.89768475293263,.3101392342467064,99.99999999999999
2012,897899478.8879992,4368924589.974432,9612879117.57395,14879703186.43638,6.034391060343737,29.36163803292079,64.60397090673547,100
2013,626849532.0855588,4293547349.401487,9970766418.39019,14891163299.87724,4.209540379499608,28.83285384048459,66.95760578001575,99.99999999999994
2014,474602365.542354,3780914579.934879,11369428687.3094,15624945632.78664,3.037465708338025,24.19793750834684,72.76459678331508,99.99999999999994
2015,446447731.2989278,3712699737.727015,6808788831.852445,10967936300.87839,4.070480708965944,33.85048596087922,62.07903333015481,99.99999999999997
2016,473080396.7990749,2507744906.070168,5906050601.752706,8886875904.621944,5.323359995980502,28.21852058006035,66.45811942395919,100
2017,360398135.2047132,3341380864.34543,7273531666.609891,10975310666.16004,3.28371693674168,30.44452194549576,66.27176111776252,99.99999999999997
2018,280471807.7457148,2254110294.105243,4261627355.011406,6796209456.862364,4.126885869630061,33.16716926417256,62.70594486619737,100
2019,400776846.7935928,1698882023.311706,3020248188.836491,5119907058.94179,7.827814883741806,33.18189185377205,58.99029326248615,100
2020,267463946.6880881,950755671.5333995,1809867280.83872,3028086899.060208,8.832769851192108,31.39789917615886,59.76933097264902,99.99999999999999
2021,223627143.8605449,809608233.9072471,1467181141.85264,2500416519.620431,8.94359568119043,32.37893477164147,58.67746954716814,100
2022,200005200.869509,829668825.4329977,969822514.2191243,1999496540.521631,10.00277804018263,41.49388651688052,48.50333544293684,99.99999999999999
2023,8028093.261827848,157507205.5212464,155897537.3491168,321432836.1321911,2.497595876771671,49.00159156623024,48.50081255699807,99.99999999999997
